,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week
0,27,177119,10,0,0,44
1,27,216481,13,0,0,40
2,25,256263,12,0,0,40
3,46,147640,3,0,1902,40
4,45,172822,7,0,2824,76
5,29,203697,13,0,0,75
6,42,226020,9,0,0,60
7,34,120461,10,0,0,50
8,60,101110,11,0,0,40
9,19,102723,10,0,0,40
10,21,204596,12,0,0,8
11,31,171871,14,0,0,46
12,53,123011,14,0,0,45
13,35,226379,9,0,0,25
14,51,153908,14,0,0,40
15,31,206823,13,0,0,50
16,37,164898,10,0,0,52
17,29,87507,16,0,0,60
18,68,117542,9,1409,0,15
19,24,176389,9,0,0,40
20,46,268358,7,0,0,40
21,53,126592,10,7688,0,40
22,54,421561,10,0,0,40
23,21,322931,10,0,0,55
24,56,245215,16,0,0,50
25,35,97277,15,0,0,65
26,46,219611,10,0,0,40
27,36,36425,10,0,0,35
28,20,170800,10,0,0,40
29,29,193152,9,0,1408,40
30,37,163199,10,0,0,40
31,17,183110,7,0,0,16
32,32,169240,9,0,0,38
33,23,320294,9,0,0,40
34,45,191776,14,25236,0,42
35,26,212793,9,0,0,40
36,31,178370,9,0,0,99
37,79,124744,10,0,0,20
38,49,184986,9,0,0,40
39,42,36271,13,0,0,40
40,67,94610,14,0,0,30
41,35,189623,16,0,0,45
42,44,326232,13,0,2547,50
43,31,196125,9,0,0,40
44,37,102936,13,0,0,55
45,22,477505,12,0,0,40
46,34,106541,10,0,0,40
47,45,353012,9,0,0,40
48,51,84399,9,0,0,40
49,28,177955,7,0,0,40
50,38,96330,11,0,0,40
51,40,99373,6,0,0,40
52,50,159650,10,0,0,60
53,33,93056,4,0,0,40
54,49,195727,13,0,0,40
55,44,171256,12,0,0,45
56,23,233711,9,0,0,50
57,20,138768,9,0,0,40
58,32,128016,9,0,0,20
59,64,221343,2,0,0,12
60,28,192200,13,0,0,40
61,47,138342,7,3411,0,40
62,37,179088,10,0,0,40
63,47,188610,9,0,0,48
64,59,87247,6,0,0,40
65,22,351952,10,0,0,20
66,47,185385,6,0,0,40
67,26,112847,11,0,0,40
68,44,226129,11,0,0,50
69,33,137310,9,0,0,40
70,46,133616,10,0,0,40
71,50,196193,13,0,0,40
72,44,119281,15,0,0,50
73,21,190968,9,0,0,40
74,33,172498,10,0,0,40
75,28,292536,10,0,0,50
76,29,370509,13,0,0,50
77,41,201435,9,0,0,40
78,19,331556,6,0,0,40
79,62,588484,13,0,0,20
80,50,97741,9,0,0,45
81,21,129345,10,0,0,40
82,60,389254,9,0,0,40
83,30,241885,10,0,0,40
84,47,398652,9,0,0,50
85,52,216342,13,0,0,55
86,36,184456,15,27828,0,50
87,67,159542,3,0,0,40
88,25,404616,13,0,0,40
89,22,205970,6,0,0,35
90,49,143459,5,0,0,38
91,38,119741,14,0,0,40
92,54,406468,9,0,0,40
93,63,188976,13,0,0,40
94,67,63552,4,0,0,35
95,22,326334,10,0,0,35
96,39,82622,13,0,0,45
97,31,145377,13,0,0,60
98,57,200316,10,0,0,40
99,22,117779,13,0,0,40
100,42,176286,12,0,0,40
101,19,260333,9,0,0,20
102,17,179319,6,0,0,30
103,28,38079,10,0,0,55
104,46,146497,9,0,0,40
